"","x"
"1007_s_at",0.0250644264056844
"1053_at",0.157242202201965
"117_at",0.398150776275721
"121_at",0.1233416005271
"1255_g_at",0
"1294_at",0.239070501265401
"1316_at",0.00797961382639571
"1320_at",0
"1405_i_at",0.491588034921408
"1431_at",0.00023573601975086
"1438_at",0.000267523371794518
"1487_at",0.074506198382627
"1494_f_at",0.00146524842799128
"1552256_a_at",0.0739686221478585
"1552257_a_at",0.105938168878882
"1552258_at",0.0418822256804847
"1552261_at",0.000939750980658393
"1552263_at",0.348609869619177
"1552264_a_at",0.438258453644503
"1552266_at",0
"1552269_at",0.00109729495986521
"1552271_at",0.0828278204311424
"1552272_a_at",0
"1552274_at",0.337277826849832
"1552275_s_at",0.253816786439287
"1552276_a_at",0.002569816124947
"1552277_a_at",0.0250304637202564
"1552278_a_at",0
"1552279_a_at",0.0143197762431882
"1552280_at",0
"1552281_at",0.000359424270545596
"1552283_s_at",0.0177307147566335
"1552286_at",0.0744275766482347
"1552287_s_at",0.178537780150853
"1552288_at",0
"1552289_a_at",0
"1552291_at",0.143930908900097
"1552293_at",0
"1552295_a_at",0.0141060442480757
"1552296_at",0
"1552299_at",0
"1552301_a_at",0.0178200044809083
"1552302_at",0.0982170851281406
"1552303_a_at",0.151947038060444
"1552304_at",0
"1552306_at",0.000695160766676122
"1552307_a_at",0.0766551829851554
"1552309_a_at",0.120540964160201
"1552310_at",0.152069869574561
"1552311_a_at",0.0667257962254862
"1552312_a_at",0.0541215704846373
"1552314_a_at",0
"1552315_at",0.382511777086077
"1552316_a_at",0.367595927643732
"1552318_at",0.434523071151635
"1552319_a_at",0
"1552320_a_at",9.42917315077855e-05
"1552321_a_at",0.000737699727500695
"1552322_at",0.000453622773024818
"1552323_s_at",0.00293265817174223
"1552325_at",0
"1552326_a_at",0.00388462663589157
"1552327_at",0.000220062683972798
"1552329_at",0.0404412808357627
"1552330_at",0.0256729235365009
"1552332_at",0.149675521869959
"1552334_at",0.256597837797946
"1552335_at",0.0464536661813166
"1552337_s_at",0
"1552338_at",0
"1552340_at",0
"1552343_s_at",0.267261985048609
"1552344_s_at",0.0942958482302028
"1552347_at",0.280379074164825
"1552348_at",0.27997582168239
"1552349_a_at",0.0427184683311762
"1552354_at",0.00687826350396385
"1552355_s_at",0
"1552359_at",0.000214779164900255
"1552360_a_at",0.098376411289837
"1552362_a_at",0.153592468197254
"1552364_s_at",0.00469521948083859
"1552365_at",0
"1552367_a_at",0.000100441270050542
"1552368_at",0
"1552370_at",0.00897001293836305
"1552372_at",0
"1552373_s_at",0.00029038479771333
"1552375_at",0.059626935102153
"1552377_s_at",0
"1552378_s_at",0
"1552379_at",0
"1552381_at",0.00019564659043773
"1552383_at",0.0935248797763122
"1552384_a_at",0
"1552386_at",0.413006881226988
"1552388_at",0.0762886513808363
"1552389_at",0.000304683645295466
"1552390_a_at",0
"1552391_at",0.00843629371955956
"1552393_at",0
"1552394_a_at",0.00325483216778423
"1552395_at",0.0184723674546338
"1552396_at",0
"1552398_a_at",0.579596545290234
"1552399_a_at",0
"1552400_a_at",0
"1552401_a_at",0.00139691541973895
"1552402_at",0.00445825885917128
"1552405_at",0
"1552408_at",0.00440597552983501
"1552409_a_at",0.0181306907217948
"1552410_at",0
"1552411_at",0
"1552412_a_at",0
"1552414_at",0.00207534705628517
"1552415_a_at",0.0159399138853293
"1552417_a_at",0.0186094012320483
"1552418_at",0
"1552419_s_at",0.00219750090241724
"1552421_a_at",0
"1552422_at",0.0151329287146808
"1552423_at",0.138811194109444
"1552424_at",0
"1552425_a_at",0.00242157573992204
"1552426_a_at",0.355460169950044
"1552427_at",0.00049388464575507
"1552430_at",0
"1552432_at",0
"1552436_a_at",0
"1552438_a_at",0
"1552439_s_at",0
"1552440_at",0
"1552445_a_at",0
"1552448_a_at",0
"1552449_a_at",0.0152929385875867
"1552450_a_at",4.89999775592186e-05
"1552452_at",0
"1552453_a_at",0
"1552455_at",0
"1552456_a_at",0
"1552457_a_at",0
"1552458_at",0.00069988731842557
"1552459_a_at",0.00485068216221877
"1552461_at",0
"1552463_at",0
"1552466_x_at",0
"1552467_at",0
"1552468_a_at",0
"1552470_a_at",3.40771660046486e-05
"1552472_a_at",0.216589869804373
"1552473_at",0
"1552474_a_at",0.0507083320669957
"1552476_s_at",0
"1552477_a_at",0
"1552478_a_at",0
"1552480_s_at",0.194625088040912
"1552481_s_at",0.000442290322157284
"1552482_at",0.0051422108509023
"1552484_at",0
"1552485_at",0.0792591572402562
"1552486_s_at",0.0792901590143915
"1552487_a_at",0
"1552489_s_at",0
"1552490_at",0
"1552491_at",0
"1552493_s_at",0
"1552494_at",0
"1552496_a_at",0
"1552497_a_at",0.321938105404623
"1552498_at",0.00153464741813894
"1552499_a_at",0
"1552501_a_at",0.222818059390144
"1552502_s_at",0
"1552503_at",0.00269172386256486
"1552504_a_at",0.0420950443846703
"1552506_at",0
"1552507_at",0
"1552508_at",0
"1552509_a_at",0
"1552510_at",1.72084788083106e-05
"1552511_a_at",0
"1552514_at",0
"1552515_at",0
"1552516_a_at",0.260422261575638
"1552518_s_at",0
"1552519_at",0
"1552520_at",0
"1552521_a_at",0
"1552522_at",0
"1552523_a_at",0
"1552524_at",2.89825595385044e-05
"1552526_at",0
"1552528_at",2.76225819240631e-05
"1552531_a_at",0
"1552532_a_at",0
"1552535_at",0
"1552536_at",0.235768700104052
"1552538_a_at",0
"1552540_s_at",0.000535168043462072
"1552541_at",0.32242829957502
"1552542_s_at",0.374973485123822
"1552543_a_at",0
"1552544_at",0
"1552546_a_at",0.0102810803839322
"1552548_at",0.00087394596807558
"1552549_a_at",0
"1552552_s_at",0.00146281780184156
"1552553_a_at",0.244603317395841
"1552554_a_at",0.0201339884500456
"1552555_at",0.0132799670175389
"1552557_a_at",0
"1552558_a_at",0
"1552559_a_at",0
"1552562_at",0
"1552563_a_at",0.0238020731008629
"1552564_at",0
"1552566_at",0
"1552568_at",0.00665511075306562
"1552569_a_at",0
"1552570_at",0
"1552572_a_at",0
"1552573_s_at",0
"1552575_a_at",0.00203464783429179
"1552576_at",0.00400964376382317
"1552578_a_at",0
"1552579_a_at",0.00204378710507018
"1552580_at",0.00313902530025606
"1552582_at",0
"1552583_s_at",0.0692976328913445
"1552584_at",0.292699465287963
"1552585_s_at",0
"1552586_at",0
"1552587_at",0.000900892594025251
"1552588_a_at",0
"1552590_a_at",0
"1552592_at",0.00032224930482086
"1552594_at",0
"1552596_at",0
"1552598_at",0
"1552599_at",0
"1552602_at",4.45403755627911e-05
"1552604_at",0.00103823758849593
"1552605_s_at",0
"1552607_at",0.0620046844769978
"1552608_at",0
"1552609_s_at",0
"1552610_a_at",0.422930867392404
"1552611_a_at",0.249107182588625
"1552612_at",0.353353392633422
"1552613_s_at",0.264746842789152
"1552615_at",0.271437460599989
"1552616_a_at",0
"1552617_a_at",0.360368130064071
"1552618_at",0.201190301823645
"1552619_a_at",0.000433670925830322
"1552620_at",0.110600272587167
"1552621_at",0.417235227451383
"1552622_s_at",0.259946823791953
"1552623_at",0.230828728542961
"1552625_a_at",0.0462582026321839
"1552626_a_at",0
"1552627_a_at",0.00693304007864835
"1552628_a_at",0.372128859346303
"1552629_a_at",0
"1552630_a_at",0.00487955237219059
"1552631_a_at",0.00243824180568545
"1552632_a_at",0.231873563352934
"1552633_at",0.158262581952865
"1552634_a_at",0.247426624144602
"1552637_at",0
"1552639_at",0.00317147310421921
"1552641_s_at",0.00538584644999374
"1552643_at",0.00335023569722804
"1552644_a_at",0.115387738550514
"1552646_at",0.0471537645814386
"1552648_a_at",0
"1552649_a_at",0.0248352265248168
"1552651_a_at",0.0776764282513522
"1552652_at",0.0568499195907565
"1552656_s_at",0.0390041005432354
"1552657_a_at",0
"1552658_a_at",0
"1552660_a_at",0.0365248799249282
"1552661_at",0
"1552662_a_at",0
"1552663_a_at",0
"1552664_at",0.0676622278913163
"1552665_at",0
"1552666_a_at",0
"1552667_a_at",0.28143334041518
"1552669_at",0.0679408076473477
"1552670_a_at",0.238291100918366
"1552671_a_at",0.0270360177462801
"1552672_a_at",0
"1552673_at",0
"1552674_at",0
"1552675_at",0
"1552676_at",0.0315445467380029
"1552677_a_at",0.035424024844026
"1552678_a_at",0.125416689915886
"1552680_a_at",0.000149595702092477
"1552682_a_at",0
"1552684_a_at",0
"1552685_a_at",0
"1552686_at",1.11238576708303e-05
"1552687_a_at",0.000954437358058088
"1552689_at",7.21968048651933e-05
"1552690_a_at",0.000174829408184742
"1552691_at",0.306605566920471
"1552693_at",0
"1552694_at",0
"1552695_a_at",0.00657224329498827
"1552696_at",0.00132175154871108
"1552698_at",0.00647088130421567
"1552701_a_at",0.249091468688269
"1552703_s_at",0.295763402652594
"1552705_at",0
"1552708_a_at",0
"1552711_a_at",0.0688379301222185
"1552712_a_at",0.000159943783346162
"1552713_a_at",0.256559047258935
"1552714_at",0
"1552715_a_at",0
"1552716_at",0
"1552717_s_at",0.000166877979283148
"1552718_at",0
"1552719_at",0.193224546905563
"1552721_a_at",0
"1552722_at",0
"1552724_at",0.00875630598690095
"1552725_s_at",0
"1552726_at",0
"1552727_s_at",0
"1552729_at",0.127341344210857
"1552730_at",0.00683265527452835
"1552731_at",0
"1552732_at",0
"1552733_at",0.00585911977630456
"1552734_at",0.0441718510023276
"1552735_at",0
"1552736_a_at",0.00643504896886921
"1552737_s_at",0
"1552738_a_at",0
"1552739_s_at",0.00131892929225895
"1552740_at",0
"1552742_at",0
"1552743_at",0
"1552745_at",0
"1552747_a_at",0.000256952633249617
"1552749_a_at",0.0368474609795237
"1552750_at",0
"1552751_a_at",0.0156442894152647
"1552752_a_at",0.000440051982029142
"1552754_a_at",0
"1552755_at",0.0153916805556876
"1552757_s_at",0.00294676938702693
"1552758_at",0
"1552760_at",0.00117157615880818
"1552761_at",0.0116587376647744
"1552763_at",0
"1552765_x_at",0
"1552766_at",0
"1552767_a_at",0.000676239350971388
"1552768_at",0
"1552769_at",0.000249469952152806
"1552770_s_at",0.035358909972025
"1552771_a_at",0
"1552772_at",0.262086428802556
"1552773_at",0.276946208363248
"1552774_a_at",0.000450506412149999
"1552775_at",0
"1552777_a_at",0.000406886268774227
"1552779_a_at",0
"1552782_at",0.00217873270241687
"1552783_at",0.000424626153039491
"1552785_at",6.74087276455833e-05
"1552787_at",0.0953191695617771
"1552788_a_at",0.0630221444237845
"1552789_at",0.0529775726481533
"1552790_a_at",0.263691956098529
"1552791_a_at",0
"1552792_at",0
"1552793_at",0
"1552794_a_at",0
"1552796_a_at",0
"1552797_s_at",0
"1552798_a_at",0.373913689135762
"1552799_at",0
"1552800_at",0.00518866070967524
"1552801_at",0
"1552803_a_at",0.0006786979786415
"1552804_a_at",0
"1552806_a_at",0.102096771148975
"1552807_a_at",0.37282515055824
"1552808_at",0.000124629830722096
"1552809_at",0
"1552811_at",0.077864281756194
"1552812_a_at",0.00988710359603891
